Step      Time, msec          Direction      Init Position  Next Position  
5819      581831              DOWN           (58,142)       (58,154)       
5820      581931              RIGHT          (58,154)       (70,154)       
5821      582031              DOWN           (70,154)       (70,166)       
5822      582131              LEFT           (70,166)       (58,166)       
5823      582231              DOWN           (58,166)       (58,178)       
5824      582331              UP             (58,178)       (58,166)       
5825      582431              RIGHT          (58,166)       (70,166)       
5826      582531              LEFT           (70,166)       (58,166)       
5827      582631              LEFT           (58,166)       (46,166)       
5828      582731              RIGHT          (46,166)       (58,166)       
5829      582831              UP             (58,166)       (58,154)       
5830      582931              UP             (58,154)       (58,142)       
5831      583031              DOWN           (58,142)       (58,154)       
5832      583131              LEFT           (58,154)       (46,154)       
5833      583231              LEFT           (46,154)       (34,154)       
5834      583331              DOWN           (34,154)       (34,166)       
5835      583431              UP             (34,166)       (34,154)       
5836      583531              DOWN           (34,154)       (34,166)       
5837      583631              RIGHT          (34,166)       (46,166)       
5838      583731              UP             (46,166)       (46,154)       
5839      583832              DOWN           (46,154)       (46,166)       
5840      583931              UP             (46,166)       (46,154)       
5841      584031              DOWN           (46,154)       (46,166)       
5842      584131              RIGHT          (46,166)       (58,166)       
5843      584231              UP             (58,166)       (58,154)       
5844      584331              RIGHT          (58,154)       (70,154)       
5845      584431              UP             (70,154)       (70,142)       
5846      584531              LEFT           (70,142)       (58,142)       
5847      584631              RIGHT          (58,142)       (70,142)       
5848      584731              UP             (70,142)       (70,130)       
5849      584831              UP             (70,130)       (70,118)       
5850      584931              DOWN           (70,118)       (70,130)       
5851      585031              DOWN           (70,130)       (70,142)       
5852      585131              LEFT           (70,142)       (58,142)       
5853      585231              DOWN           (58,142)       (58,154)       
5854      585331              RIGHT          (58,154)       (70,154)       
5855      585431              UP             (70,154)       (70,142)       
5856      585531              UP             (70,142)       (70,130)       
5857      585631              DOWN           (70,130)       (70,142)       
5858      585731              UP             (70,142)       (70,130)       
5859      585831              DOWN           (70,130)       (70,142)       
5860      585931              DOWN           (70,142)       (70,154)       
5861      586031              UP             (70,154)       (70,142)       
5862      586131              RIGHT          (70,142)       (82,142)       
5863      586231              RIGHT          (82,142)       (94,142)       
5864      586331              DOWN           (94,142)       (94,154)       
5865      586431              LEFT           (94,154)       (82,154)       
5866      586531              UP             (82,154)       (82,142)       
5867      586631              RIGHT          (82,142)       (94,142)       
5868      586731              LEFT           (94,142)       (82,142)       
5869      586832              UP             (82,142)       (82,130)       
5870      586931              RIGHT          (82,130)       (94,130)       
5871      587031              UP             (94,130)       (94,118)       
5872      587131              DOWN           (94,118)       (94,130)       
5873      587231              LEFT           (94,130)       (82,130)       
5874      587331              RIGHT          (82,130)       (94,130)       
5875      587431              LEFT           (94,130)       (82,130)       
5876      587531              RIGHT          (82,130)       (94,130)       
5877      587631              DOWN           (94,130)       (94,142)       
5878      587731              LEFT           (94,142)       (82,142)       
5879      587831              UP             (82,142)       (82,130)       
5880      587931              DOWN           (82,130)       (82,142)       
5881      588031              UP             (82,142)       (82,130)       
5882      588131              UP             (82,130)       (82,118)       
5883      588231              LEFT           (82,118)       (70,118)       
5884      588331              RIGHT          (70,118)       (82,118)       
5885      588431              RIGHT          (82,118)       (94,118)       
5886      588531              RIGHT          (94,118)       (106,118)      
5887      588631              UP             (106,118)      (106,106)      
5888      588731              UP             (106,106)      (106,94)       
5889      588831              LEFT           (106,94)       (94,94)        
5890      588933              RIGHT          (94,94)        (106,94)       
5891      589032              UP             (106,94)       (106,82)       
5892      589132              LEFT           (106,82)       (94,82)        
5893      589232              LEFT           (94,82)        (82,82)        
5894      589332              RIGHT          (82,82)        (94,82)        
5895      589432              RIGHT          (94,82)        (106,82)       
5896      589532              RIGHT          (106,82)       (118,82)       
5897      589632              RIGHT          (118,82)       (130,82)       
5898      589732              UP             (130,82)       (130,70)       
5899      589832              UP             (130,70)       (130,58)       
5900      589933              DOWN           (130,58)       (130,70)       
5901      590032              DOWN           (130,70)       (130,82)       
5902      590132              UP             (130,82)       (130,70)       
5903      590232              UP             (130,70)       (130,58)       
5904      590332              UP             (130,58)       (130,46)       
5905      590432              UP             (130,46)       (130,34)       
5906      590532              RIGHT          (130,34)       (142,34)       
5907      590632              LEFT           (142,34)       (130,34)       
5908      590732              UP             (130,34)       (130,22)       
5909      590832              RIGHT          (130,22)       (142,22)       
5910      590933              LEFT           (142,22)       (130,22)       
5911      591032              RIGHT          (130,22)       (142,22)       
5912      591132              LEFT           (142,22)       (130,22)       
5913      591232              UP             (130,22)       (130,10)       
5914      591332              LEFT           (130,22)       (118,22)       
5915      591432              LEFT           (118,22)       (106,22)       
5916      591532              DOWN           (106,22)       (106,34)       
5917      591632              DOWN           (106,34)       (106,46)       
5918      591732              UP             (106,46)       (106,34)       
5919      591832              DOWN           (106,34)       (106,46)       
5920      591933              UP             (106,46)       (106,34)       
5921      592032              UP             (106,34)       (106,22)       
5922      592132              RIGHT          (106,22)       (118,22)       
5923      592232              UP             (118,22)       (118,10)       
5924      592332              UP             (118,22)       (118,10)       
5925      592432              UP             (118,22)       (118,10)       
5926      592532              LEFT           (118,22)       (106,22)       
5927      592632              DOWN           (106,22)       (106,34)       
5928      592732              UP             (106,34)       (106,22)       
5929      592832              RIGHT          (106,22)       (118,22)       
5930      592932              LEFT           (118,22)       (106,22)       
5931      593034              RIGHT          (106,22)       (118,22)       
5932      593133              DOWN           (118,22)       (118,34)       
5933      593233              DOWN           (118,34)       (118,46)       
5934      593333              UP             (118,46)       (118,34)       
5935      593433              DOWN           (118,34)       (118,46)       
5936      593534              LEFT           (118,46)       (106,46)       
5937      593634              LEFT           (106,46)       (94,46)        
5938      593734              RIGHT          (94,46)        (106,46)       
5939      593834              DOWN           (106,46)       (106,58)       
5940      593934              RIGHT          (106,58)       (118,58)       
5941      594034              LEFT           (118,58)       (106,58)       
5942      594134              LEFT           (106,58)       (94,58)        
5943      594234              RIGHT          (94,58)        (106,58)       
5944      594334              UP             (106,58)       (106,46)       
5945      594434              RIGHT          (106,46)       (118,46)       
5946      594534              UP             (118,46)       (118,34)       
5947      594634              DOWN           (118,34)       (118,46)       
5948      594734              LEFT           (118,46)       (106,46)       
5949      594834              LEFT           (106,46)       (94,46)        
5950      594934              DOWN           (94,46)        (94,58)        
5951      595034              LEFT           (94,58)        (82,58)        
5952      595134              UP             (82,58)        (82,46)        
5953      595234              UP             (82,46)        (82,34)        
5954      595334              RIGHT          (82,34)        (94,34)        
5955      595434              RIGHT          (94,34)        (106,34)       
5956      595534              RIGHT          (106,34)       (118,34)       
5957      595634              DOWN           (118,34)       (118,46)       
5958      595734              RIGHT          (118,46)       (130,46)       
5959      595834              LEFT           (130,46)       (118,46)       
5960      595934              DOWN           (118,46)       (118,58)       
5961      596034              DOWN           (118,58)       (118,70)       
5962      596134              UP             (118,70)       (118,58)       
5963      596234              LEFT           (118,58)       (106,58)       
5964      596334              UP             (106,58)       (106,46)       
5965      596434              LEFT           (106,46)       (94,46)        
5966      596534              UP             (94,46)        (94,34)        
5967      596634              UP             (94,34)        (94,22)        
5968      596734              UP             (94,22)        (94,10)        
5969      596834              UP             (94,22)        (94,10)        
5970      596934              RIGHT          (94,22)        (106,22)       
5971      597034              DOWN           (106,22)       (106,34)       
5972      597134              RIGHT          (106,34)       (118,34)       
5973      597234              DOWN           (118,34)       (118,46)       
5974      597334              DOWN           (118,46)       (118,58)       
5975      597434              LEFT           (118,58)       (106,58)       
5976      597534              UP             (106,58)       (106,46)       
5977      597634              DOWN           (106,46)       (106,58)       
5978      597734              LEFT           (106,58)       (94,58)        
5979      597834              RIGHT          (94,58)        (106,58)       
5980      597934              LEFT           (106,58)       (94,58)        
5981      598034              DOWN           (94,58)        (94,70)        
5982      598134              LEFT           (94,70)        (82,70)        
5983      598234              LEFT           (82,70)        (70,70)        
5984      598334              DOWN           (70,70)        (70,82)        
5985      598434              RIGHT          (70,82)        (82,82)        
5986      598534              DOWN           (82,82)        (82,94)        
5987      598634              DOWN           (82,94)        (82,106)       
5988      598734              UP             (82,106)       (82,94)        
5989      598834              LEFT           (82,94)        (70,94)        
5990      598934              RIGHT          (70,94)        (82,94)        
5991      599034              RIGHT          (82,94)        (94,94)        
5992      599134              DOWN           (94,94)        (94,106)       
5993      599234              UP             (94,106)       (94,94)        
5994      599334              DOWN           (94,94)        (94,106)       
5995      599434              LEFT           (94,106)       (82,106)       
5996      599534              LEFT           (82,106)       (70,106)       
5997      599634              UP             (70,106)       (70,94)        
5998      599734              UP             (70,94)        (70,82)        
5999      599834              UP             (70,82)        (70,70)        
6000      599934              UP             (70,70)        (70,58)        
6001      600034              LEFT           (70,58)        (58,58)        
6002      600134              RIGHT          (58,58)        (70,58)        
6003      600234              DOWN           (70,58)        (70,70)        
6004      600334              RIGHT          (70,70)        (82,70)        
6005      600434              LEFT           (82,70)        (70,70)        
6006      600534              UP             (70,70)        (70,58)        
6007      600634              DOWN           (70,58)        (70,70)        
6008      600734              LEFT           (70,70)        (58,70)        
6009      600834              LEFT           (58,70)        (46,70)        
6010      600934              UP             (46,70)        (46,58)        
6011      601034              UP             (46,58)        (46,46)        
6012      601134              UP             (46,46)        (46,34)        
6013      601234              UP             (46,34)        (46,22)        
6014      601334              RIGHT          (46,22)        (58,22)        
6015      601434              LEFT           (58,22)        (46,22)        
6016      601534              LEFT           (46,22)        (34,22)        
6017      601634              RIGHT          (34,22)        (46,22)        
6018      601734              LEFT           (46,22)        (34,22)        
6019      601834              DOWN           (34,22)        (34,34)        
6020      601934              LEFT           (34,34)        (22,34)        
6021      602034              DOWN           (22,34)        (22,46)        
6022      602134              RIGHT          (22,46)        (34,46)        
6023      602234              UP             (34,46)        (34,34)        
6024      602334              UP             (34,34)        (34,22)        
6025      602434              UP             (34,22)        (34,10)        
6026      602534              RIGHT          (34,22)        (46,22)        
6027      602634              DOWN           (46,22)        (46,34)        
6028      602734              UP             (46,34)        (46,22)        
6029      602834              RIGHT          (46,22)        (58,22)        
6030      602934              UP             (58,22)        (58,10)        
6031      603034              RIGHT          (58,22)        (70,22)        
6032      603134              DOWN           (70,22)        (70,34)        
6033      603234              RIGHT          (70,34)        (82,34)        
6034      603334              UP             (82,34)        (82,22)        
6035      603434              UP             (82,22)        (82,10)        
6036      603534              LEFT           (82,22)        (70,22)        
6037      603634              RIGHT          (70,22)        (82,22)        
6038      603734              UP             (82,22)        (82,10)        
6039      603834              RIGHT          (82,22)        (94,22)        
6040      603934              UP             (94,22)        (94,10)        
6041      604034              UP             (94,22)        (94,10)        
6042      604134              DOWN           (94,22)        (94,34)        
6043      604234              LEFT           (94,34)        (82,34)        
6044      604334              LEFT           (82,34)        (70,34)        
6045      604434              RIGHT          (70,34)        (82,34)        
6046      604534              DOWN           (82,34)        (82,46)        
6047      604634              UP             (82,46)        (82,34)        
6048      604734              DOWN           (82,34)        (82,46)        
6049      604834              RIGHT          (82,46)        (94,46)        
6050      604934              RIGHT          (94,46)        (106,46)       
6051      605034              LEFT           (106,46)       (94,46)        
6052      605134              DOWN           (94,46)        (94,58)        
6053      605234              UP             (94,58)        (94,46)        
6054      605334              DOWN           (94,46)        (94,58)        
6055      605434              LEFT           (94,58)        (82,58)        
6056      605534              DOWN           (82,58)        (82,70)        
6057      605634              DOWN           (82,70)        (82,82)        
6058      605734              UP             (82,82)        (82,70)        
6059      605834              DOWN           (82,70)        (82,82)        
6060      605934              UP             (82,82)        (82,70)        
6061      606034              LEFT           (82,70)        (70,70)        
6062      606134              RIGHT          (70,70)        (82,70)        
6063      606234              RIGHT          (82,70)        (94,70)        
6064      606334              LEFT           (94,70)        (82,70)        
6065      606434              UP             (82,70)        (82,58)        
6066      606534              LEFT           (82,58)        (70,58)        
6067      606634              LEFT           (70,58)        (58,58)        
6068      606734              RIGHT          (58,58)        (70,58)        
6069      606834              LEFT           (70,58)        (58,58)        
6070      606934              DOWN           (58,58)        (58,70)        
6071      607034              LEFT           (58,70)        (46,70)        
6072      607134              DOWN           (46,70)        (46,82)        
6073      607234              DOWN           (46,82)        (46,94)        
6074      607334              UP             (46,94)        (46,82)        
6075      607434              LEFT           (46,82)        (34,82)        
6076      607534              LEFT           (34,82)        (22,82)        
6077      607634              LEFT           (22,82)        (10,82)        
6078      607734              LEFT           (22,82)        (10,82)        
6079      607834              RIGHT          (22,82)        (34,82)        
6080      607934              DOWN           (34,82)        (34,94)        
6081      608034              RIGHT          (34,94)        (46,94)        
6082      608134              LEFT           (46,94)        (34,94)        
6083      608234              UP             (34,94)        (34,82)        
6084      608334              RIGHT          (34,82)        (46,82)        
6085      608434              UP             (46,82)        (46,70)        
6086      608534              DOWN           (46,70)        (46,82)        
6087      608634              DOWN           (46,82)        (46,94)        
6088      608734              RIGHT          (46,94)        (58,94)        
6089      608834              LEFT           (58,94)        (46,94)        
6090      608934              LEFT           (46,94)        (34,94)        
6091      609034              UP             (34,94)        (34,82)        
6092      609134              DOWN           (34,82)        (34,94)        
6093      609234              DOWN           (34,94)        (34,106)       
6094      609334              RIGHT          (34,106)       (46,106)       
6095      609434              UP             (46,106)       (46,94)        
6096      609534              LEFT           (46,94)        (34,94)        
6097      609634              LEFT           (34,94)        (22,94)        
6098      609734              UP             (22,94)        (22,82)        
6099      609834              DOWN           (22,82)        (22,94)        
6100      609934              LEFT           (22,94)        (10,94)        
6101      610034              DOWN           (22,94)        (22,106)       
6102      610134              RIGHT          (22,106)       (34,106)       
6103      610234              RIGHT          (34,106)       (46,106)       
6104      610334              DOWN           (46,106)       (46,118)       
6105      610434              LEFT           (46,118)       (34,118)       
6106      610534              UP             (34,118)       (34,106)       
6107      610634              LEFT           (34,106)       (22,106)       
6108      610734              DOWN           (22,106)       (22,118)       
6109      610834              DOWN           (22,118)       (22,130)       
6110      610934              RIGHT          (22,130)       (34,130)       
6111      611034              LEFT           (34,130)       (22,130)       
6112      611134              RIGHT          (22,130)       (34,130)       
6113      611234              UP             (34,130)       (34,118)       
6114      611334              RIGHT          (34,118)       (46,118)       
6115      611434              DOWN           (46,118)       (46,130)       
6116      611534              LEFT           (46,130)       (34,130)       
6117      611634              DOWN           (34,130)       (34,142)       
6118      611734              RIGHT          (34,142)       (46,142)       
6119      611834              DOWN           (46,142)       (46,154)       
6120      611934              LEFT           (46,154)       (34,154)       
6121      612035              UP             (34,154)       (34,142)       
6122      612134              RIGHT          (34,142)       (46,142)       
6123      612234              RIGHT          (46,142)       (58,142)       
6124      612334              DOWN           (58,142)       (58,154)       
6125      612434              UP             (58,154)       (58,142)       
6126      612534              LEFT           (58,142)       (46,142)       
6127      612634              UP             (46,142)       (46,130)       
6128      612734              RIGHT          (46,130)       (58,130)       
6129      612834              DOWN           (58,130)       (58,142)       
6130      612934              RIGHT          (58,142)       (70,142)       
6131      613035              RIGHT          (70,142)       (82,142)       
6132      613134              DOWN           (82,142)       (82,154)       
6133      613234              RIGHT          (82,154)       (94,154)       
6134      613334              LEFT           (94,154)       (82,154)       
6135      613434              UP             (82,154)       (82,142)       
6136      613534              RIGHT          (82,142)       (94,142)       
6137      613634              DOWN           (94,142)       (94,154)       
6138      613734              DOWN           (94,154)       (94,166)       
6139      613834              RIGHT          (94,166)       (106,166)      
6140      613934              UP             (106,166)      (106,154)      
6141      614035              LEFT           (106,154)      (94,154)       
6142      614134              UP             (94,154)       (94,142)       
6143      614234              LEFT           (94,142)       (82,142)       
6144      614334              LEFT           (82,142)       (70,142)       
6145      614434              UP             (70,142)       (70,130)       
6146      614534              RIGHT          (70,130)       (82,130)       
6147      614634              RIGHT          (82,130)       (94,130)       
6148      614734              RIGHT          (94,130)       (106,130)      
6149      614834              RIGHT          (106,130)      (118,130)      
6150      614934              DOWN           (118,130)      (118,142)      
6151      615035              DOWN           (118,142)      (118,154)      
6152      615134              LEFT           (118,154)      (106,154)      
6153      615234              DOWN           (106,154)      (106,166)      
6154      615334              RIGHT          (106,166)      (118,166)      
6155      615434              RIGHT          (118,166)      (130,166)      
6156      615534              UP             (130,166)      (130,154)      
6157      615634              DOWN           (130,154)      (130,166)      
6158      615734              RIGHT          (130,166)      (142,166)      
6159      615834              RIGHT          (142,166)      (154,166)      
6160      615934              LEFT           (154,166)      (142,166)      
6161      616035              RIGHT          (142,166)      (154,166)      
6162      616134              DOWN           (154,166)      (154,178)      
6163      616234              RIGHT          (154,178)      (166,178)      
6164      616335              UP             (166,178)      (166,166)      
6165      616434              DOWN           (166,166)      (166,178)      
6166      616534              LEFT           (166,178)      (154,178)      
6167      616634              UP             (154,178)      (154,166)      
6168      616734              RIGHT          (154,166)      (166,166)      
6169      616834              DOWN           (166,166)      (166,178)      
6170      616934              LEFT           (166,178)      (154,178)      
6171      617035              UP             (154,178)      (154,166)      
6172      617134              RIGHT          (154,166)      (166,166)      
6173      617234              LEFT           (166,166)      (154,166)      
6174      617334              UP             (154,166)      (154,154)      
6175      617434              LEFT           (154,154)      (142,154)      
6176      617534              DOWN           (142,154)      (142,166)      
6177      617634              RIGHT          (142,166)      (154,166)      
6178      617734              RIGHT          (154,166)      (166,166)      
6179      617834              DOWN           (166,166)      (166,178)      
6180      617934              DOWN           (166,178)      (166,190)      
6181      618035              LEFT           (166,190)      (154,190)      
6182      618134              LEFT           (154,190)      (142,190)      
6183      618234              DOWN           (142,190)      (142,202)      
6184      618334              LEFT           (142,202)      (130,202)      
6185      618434              DOWN           (130,202)      (130,214)      
6186      618535              UP             (130,214)      (130,202)      
6187      618634              UP             (130,202)      (130,190)      
6188      618735              RIGHT          (130,190)      (142,190)      
6189      618835              LEFT           (142,190)      (130,190)      
6190      618935              LEFT           (130,190)      (118,190)      
6191      619035              LEFT           (118,190)      (106,190)      
6192      619135              RIGHT          (106,190)      (118,190)      
6193      619235              LEFT           (118,190)      (106,190)      
6194      619335              RIGHT          (106,190)      (118,190)      
6195      619435              LEFT           (118,190)      (106,190)      
6196      619535              LEFT           (106,190)      (94,190)       
6197      619635              RIGHT          (94,190)       (106,190)      
6198      619735              RIGHT          (106,190)      (118,190)      
6199      619835              LEFT           (118,190)      (106,190)      
6200      619935              RIGHT          (106,190)      (118,190)      
6201      620035              UP             (118,190)      (118,178)      
6202      620135              UP             (118,178)      (118,166)      
6203      620235              UP             (118,166)      (118,154)      
6204      620335              RIGHT          (118,154)      (130,154)      
6205      620435              DOWN           (130,154)      (130,166)      
6206      620535              LEFT           (130,166)      (118,166)      
6207      620635              UP             (118,166)      (118,154)      
6208      620735              DOWN           (118,154)      (118,166)      
6209      620835              UP             (118,166)      (118,154)      
6210      620935              RIGHT          (118,154)      (130,154)      
6211      621035              DOWN           (130,154)      (130,166)      
6212      621135              RIGHT          (130,166)      (142,166)      
6213      621235              LEFT           (142,166)      (130,166)      
6214      621335              LEFT           (130,166)      (118,166)      
6215      621435              LEFT           (118,166)      (106,166)      
6216      621535              DOWN           (106,166)      (106,178)      
6217      621635              LEFT           (106,178)      (94,178)       
6218      621735              RIGHT          (94,178)       (106,178)      
6219      621835              UP             (106,178)      (106,166)      
6220      621935              LEFT           (106,166)      (94,166)       
6221      622035              DOWN           (94,166)       (94,178)       
6222      622135              RIGHT          (94,178)       (106,178)      
6223      622235              UP             (106,178)      (106,166)      
6224      622335              UP             (106,166)      (106,154)      
6225      622435              RIGHT          (106,154)      (118,154)      
6226      622535              RIGHT          (118,154)      (130,154)      
6227      622635              UP             (130,154)      (130,142)      
6228      622735              UP             (130,142)      (130,130)      
6229      622835              UP             (130,130)      (130,118)      
6230      622935              LEFT           (130,118)      (118,118)      
6231      623035              RIGHT          (118,118)      (130,118)      
6232      623135              RIGHT          (130,118)      (142,118)      
6233      623235              LEFT           (142,118)      (130,118)      
6234      623335              UP             (130,118)      (130,106)      
6235      623435              DOWN           (130,106)      (130,118)      
6236      623535              UP             (130,118)      (130,106)      
6237      623635              UP             (130,106)      (130,94)       
6238      623735              LEFT           (130,94)       (118,94)       
6239      623835              DOWN           (118,94)       (118,106)      
6240      623935              DOWN           (118,106)      (118,118)      
6241      624035              DOWN           (118,118)      (118,130)      
6242      624135              DOWN           (118,130)      (118,142)      
6243      624235              RIGHT          (118,142)      (130,142)      
6244      624335              DOWN           (130,142)      (130,154)      
6245      624435              UP             (130,154)      (130,142)      
6246      624535              UP             (130,142)      (130,130)      
6247      624635              RIGHT          (130,130)      (142,130)      
6248      624735              DOWN           (142,130)      (142,142)      
6249      624835              LEFT           (142,142)      (130,142)      
6250      624935              RIGHT          (130,142)      (142,142)      
6251      625035              RIGHT          (142,142)      (154,142)      
6252      625135              DOWN           (154,142)      (154,154)      
6253      625235              UP             (154,154)      (154,142)      
6254      625335              LEFT           (154,142)      (142,142)      
6255      625435              UP             (142,142)      (142,130)      
6256      625535              DOWN           (142,130)      (142,142)      
6257      625635              DOWN           (142,142)      (142,154)      
6258      625735              LEFT           (142,154)      (130,154)      
6259      625835              LEFT           (130,154)      (118,154)      
6260      625935              UP             (118,154)      (118,142)      
6261      626035              RIGHT          (118,142)      (130,142)      
6262      626135              DOWN           (130,142)      (130,154)      
6263      626235              DOWN           (130,154)      (130,166)      
6264      626335              DOWN           (130,166)      (130,178)      
6265      626435              UP             (130,178)      (130,166)      
6266      626535              UP             (130,166)      (130,154)      
6267      626635              RIGHT          (130,154)      (142,154)      
6268      626735              UP             (142,154)      (142,142)      
6269      626835              RIGHT          (142,142)      (154,142)      
6270      626935              UP             (154,142)      (154,130)      
6271      627035              RIGHT          (154,130)      (166,130)      
6272      627136              UP             (166,130)      (166,118)      
6273      627236              DOWN           (166,118)      (166,130)      
6274      627336              UP             (166,130)      (166,118)      
6275      627436              UP             (166,118)      (166,106)      
6276      627536              UP             (166,106)      (166,94)       
6277      627636              LEFT           (166,94)       (154,94)       
6278      627736              LEFT           (154,94)       (142,94)       
6279      627836              RIGHT          (142,94)       (154,94)       
6280      627936              RIGHT          (154,94)       (166,94)       
6281      628036              UP             (166,94)       (166,82)       
6282      628136              RIGHT          (166,82)       (178,82)       
6283      628236              RIGHT          (178,82)       (190,82)       
6284      628336              RIGHT          (190,82)       (202,82)       
6285      628436              RIGHT          (202,82)       (214,82)       
6286      628536              DOWN           (214,82)       (214,94)       
6287      628636              RIGHT          (214,94)       (226,94)       
6288      628736              RIGHT          (226,94)       (238,94)       
6289      628836              RIGHT          (238,94)       (250,94)       
6290      628936              DOWN           (250,94)       (250,106)      
6291      629036              DOWN           (250,106)      (250,118)      
6292      629136              UP             (250,118)      (250,106)      
6293      629236              LEFT           (250,106)      (238,106)      
6294      629336              RIGHT          (238,106)      (250,106)      
6295      629436              UP             (250,106)      (250,94)       
6296      629536              UP             (250,94)       (250,82)       
6297      629636              DOWN           (250,82)       (250,94)       
6298      629736              RIGHT          (250,94)       (262,94)       
6299      629836              DOWN           (262,94)       (262,106)      
6300      629936              UP             (262,106)      (262,94)       
6301      630036              LEFT           (262,94)       (250,94)       
6302      630136              UP             (250,94)       (250,82)       
6303      630236              RIGHT          (250,82)       (262,82)       
6304      630336              RIGHT          (262,82)       (274,82)       
6305      630436              RIGHT          (274,82)       (286,82)       
6306      630536              LEFT           (286,82)       (274,82)       
6307      630636              UP             (274,82)       (274,70)       
6308      630736              RIGHT          (274,70)       (286,70)       
6309      630836              UP             (286,70)       (286,58)       
6310      630936              RIGHT          (286,58)       (298,58)       
6311      631036              RIGHT          (298,58)       (310,58)       
6312      631136              RIGHT          (310,58)       (322,58)       
6313      631236              LEFT           (322,58)       (310,58)       
6314      631336              UP             (310,58)       (310,46)       
6315      631436              RIGHT          (310,46)       (322,46)       
6316      631536              UP             (322,46)       (322,34)       
6317      631636              DOWN           (322,34)       (322,46)       
6318      631736              UP             (322,46)       (322,34)       
6319      631836              UP             (322,34)       (322,22)       
6320      631936              LEFT           (322,22)       (310,22)       
6321      632036              RIGHT          (310,22)       (322,22)       
6322      632136              DOWN           (322,22)       (322,34)       
6323      632236              RIGHT          (322,34)       (334,34)       
6324      632336              DOWN           (334,34)       (334,46)       
6325      632436              DOWN           (334,46)       (334,58)       
6326      632536              UP             (334,58)       (334,46)       
6327      632636              UP             (334,46)       (334,34)       
6328      632736              RIGHT          (334,34)       (346,34)       
6329      632836              DOWN           (346,34)       (346,46)       
6330      632936              UP             (346,46)       (346,34)       
6331      633036              LEFT           (346,34)       (334,34)       
6332      633136              DOWN           (334,34)       (334,46)       
6333      633236              UP             (334,46)       (334,34)       
6334      633336              RIGHT          (334,34)       (346,34)       
6335      633436              UP             (346,34)       (346,22)       
6336      633536              UP             (346,22)       (346,10)       
6337      633636              DOWN           (346,22)       (346,34)       
6338      633736              DOWN           (346,34)       (346,46)       
6339      633836              DOWN           (346,46)       (346,58)       
6340      633936              RIGHT          (346,58)       (358,58)       
6341      634036              UP             (358,58)       (358,46)       
6342      634136              DOWN           (358,46)       (358,58)       
6343      634236              LEFT           (358,58)       (346,58)       
6344      634336              RIGHT          (346,58)       (358,58)       
6345      634436              LEFT           (358,58)       (346,58)       
6346      634536              RIGHT          (346,58)       (358,58)       
6347      634636              UP             (358,58)       (358,46)       
6348      634736              LEFT           (358,46)       (346,46)       
6349      634836              RIGHT          (346,46)       (358,46)       
6350      634936              LEFT           (358,46)       (346,46)       
6351      635036              DOWN           (346,46)       (346,58)       
6352      635136              DOWN           (346,58)       (346,70)       
6353      635236              DOWN           (346,70)       (346,82)       
6354      635336              LEFT           (346,82)       (334,82)       
6355      635436              UP             (334,82)       (334,70)       
6356      635536              LEFT           (334,70)       (322,70)       
6357      635636              UP             (322,70)       (322,58)       
6358      635736              UP             (322,58)       (322,46)       
6359      635836              DOWN           (322,46)       (322,58)       
6360      635936              LEFT           (322,58)       (310,58)       
6361      636036              UP             (310,58)       (310,46)       
6362      636136              LEFT           (310,46)       (298,46)       
6363      636236              LEFT           (298,46)       (286,46)       
6364      636336              DOWN           (286,46)       (286,58)       
6365      636436              LEFT           (286,58)       (274,58)       
6366      636536              RIGHT          (274,58)       (286,58)       
6367      636636              UP             (286,58)       (286,46)       
6368      636736              DOWN           (286,46)       (286,58)       
6369      636836              UP             (286,58)       (286,46)       
6370      636936              RIGHT          (286,46)       (298,46)       
6371      637036              DOWN           (298,46)       (298,58)       
6372      637136              LEFT           (298,58)       (286,58)       
6373      637236              UP             (286,58)       (286,46)       
6374      637336              UP             (286,46)       (286,34)       
6375      637436              LEFT           (286,34)       (274,34)       
6376      637536              LEFT           (274,34)       (262,34)       
6377      637636              RIGHT          (262,34)       (274,34)       
6378      637736              LEFT           (274,34)       (262,34)       
6379      637836              RIGHT          (262,34)       (274,34)       
6380      637936              RIGHT          (274,34)       (286,34)       
6381      638036              DOWN           (286,34)       (286,46)       
6382      638137              DOWN           (286,46)       (286,58)       
6383      638236              UP             (286,58)       (286,46)       
6384      638336              UP             (286,46)       (286,34)       
6385      638436              LEFT           (286,34)       (274,34)       
6386      638536              RIGHT          (274,34)       (286,34)       
6387      638636              RIGHT          (286,34)       (298,34)       
6388      638736              UP             (298,34)       (298,22)       
6389      638836              LEFT           (298,22)       (286,22)       
6390      638936              LEFT           (286,22)       (274,22)       
6391      639036              RIGHT          (274,22)       (286,22)       
6392      639137              LEFT           (286,22)       (274,22)       
6393      639236              RIGHT          (274,22)       (286,22)       
6394      639336              UP             (286,22)       (286,10)       
6395      639436              UP             (286,22)       (286,10)       
6396      639536              RIGHT          (286,22)       (298,22)       
6397      639636              DOWN           (298,22)       (298,34)       
6398      639736              UP             (298,34)       (298,22)       
6399      639836              DOWN           (298,22)       (298,34)       
6400      639936              DOWN           (298,34)       (298,46)       
6401      640036              RIGHT          (298,46)       (310,46)       
6402      640137              RIGHT          (310,46)       (322,46)       
6403      640236              RIGHT          (322,46)       (334,46)       
